kategoria_bdot,funkcja_ogolna_budynku,funkcja_szczegolowa_budynku,building,amenity,man_made,leisure,historic,tourism
budynki muzeów i bibliotek,muzea lub biblioteki,dom parafialny,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,budynek wielorodzinny,apartments,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,ośrodek szkoleniowo wypoczynkowy,hotel,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,lokomotywownia lub wagonownia,yes,,,,,
budynki przemysłowe,budynki przemysłowe,zajezdnia autobusowa,yes,,,,,
budynki handlowo-usługowe,budynki handlowo-usługowe,restauracja,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,Starostwo Powiatowe,government,,,,,
budynki kultury fizycznej,budynki kultury fizycznej,placówka ochrony zdrowia,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,jednostka ratownictwa medycznego,yes,,,,,
budynki biurowe,budynki biurowe,inny urząd administracji publicznej,government,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,budynek wielorodzinny,apartments,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,szpital,hospital,,,,,
budynki przemysłowe,budynki przemysłowe,straż pożarna,fire_station,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,schronisko turystyczne,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,Urząd Celny,yes,,,,,
budynki szkół i instytucji badawczych,budynki szkół i instytucji badawczych,budynek jednorodzinny,house,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,centrum handlowe,retail,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,dom towarowy lub handlowy,retail,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,centrum konferencyjne,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,placówka badawcza,yes,,,,,
budynki szpitali i zakładów opieki medycznej,budynki szpitali i zakładów opieki medyczne,hospicjum,yes,,,,,
"pozostałe budynki niemieszkalne, gdzie indziej nie wymienione",pozostałe budynki niemieszkalne,garaż,garage,,,,,
"budynki zakwaterowania turystycznego, pozostałe",pozostałe budynki zakwaterowania turystycznego,ośrodek szkoleniowo wypoczynkowy,yes,,,,,
budynki muzeów i bibliotek,muzea lub biblioteki,elewator,yes,,,,,
budynki przeznaczone do sprawowania kultu religijnego i czynności religijnych,budynki kultu religijnego,dom pogrzebowy,yes,,,,,
ogólnodostępne obiekty kulturalne,ogólnodostępne budynki kulturalne,centrum konferencyjne,yes,,,,,
"budynki łączności, dworców i terminali",budynki łączności dworców i terminali,centrum handlowe,comercial,,,,,
budynki biurowe,budynki biurowe,przejście graniczne,yes,,,,,
