teryt_simc_code,teryt_ulic_code,teryt_street_name,osm_street_name
0924023,30090,1-go Maja,1 Maja
0977290,30090,1-go Maja,1 Maja
0025810,30090,1-go Maja,1 Maja
0199361,30090,1-go Maja,1 Maja
0975380,30090,1-go Maja,1 Maja
0936871,30090,1-go Maja,1 Maja
0922120,30090,1-go Maja,1 Maja
0956454,30090,1-go Maja,1 Maja
0980636,30090,1-go Maja,1 Maja
0921415,30090,1-go Maja,1 Maja
0942104,30090,1-go Maja,1 Maja
0930800,30090,1-go Maja,1 Maja
0934636,30090,1-go Maja,1 Maja
0950262,30090,1-go Maja,1 Maja
0988603,30090,1-go Maja,1 Maja
0943813,30090,1-go Maja,1 Maja
0814493,31819,11-go Listopada,11 Listopada
0938670,31819,11-go Listopada,11 Listopada
0051010,31819,11-go Listopada,11 Listopada
0974328,31819,11-go Listopada,11 Listopada
0920321,31819,11-go Listopada,11 Listopada
0957376,31819,11-go Listopada,11 Listopada
0972424,31819,11-go Listopada,11 Listopada
0974392,31819,11-go Listopada,11 Listopada
0920901,31819,11-go Listopada,11 Listopada
0941487,31819,11-go Listopada,11 Listopada
0921415,31819,11-go Listopada,11 Listopada
0521822,31819,11-go Listopada,11 Listopada
0921645,31819,11-go Listopada,11 Listopada
0981133,31819,11-go Listopada,11 Listopada
0935742,31819,11-go Listopada,11 Listopada
0980085,31819,11-go Listopada,11 Listopada
0943813,31819,11-go Listopada,11 Listopada
0968300,31819,11-go Listopada,11 Listopada
0954225,42461,17. Pułku Ułanów,17 Pułku Ułanów
0936871,33351,21-go Stycznia,21 Stycznia
0924023,30091,27-go Stycznia,27 Stycznia
0211808,29830,3-go Maja,3 Maja
0417728,29830,3-go Maja,3 Maja
0952841,29830,3-go Maja,3 Maja
0983126,29830,3-go Maja,3 Maja
0815239,29830,3-go Maja,3 Maja
0974328,29830,3-go Maja,3 Maja
0671645,29830,3-go Maja,3 Maja
0515840,29830,3-go Maja,3 Maja
0957382,29830,3-go Maja,3 Maja
0979113,29830,3-go Maja,3 Maja
0972424,29830,3-go Maja,3 Maja
0936871,29830,3-go Maja,3 Maja
0176176,29830,3-go Maja,3 Maja
0951570,29830,3-go Maja,3 Maja
0974529,29830,3-go Maja,3 Maja
0972447,29830,3-go Maja,3 Maja
0080111,29830,3-go Maja,3 Maja
0080140,29830,3-go Maja,3 Maja
0977054,29830,3-go Maja,3 Maja
0603224,29830,3-go Maja,3 Maja
0941487,29830,3-go Maja,3 Maja
0043593,29830,3-go Maja,3 Maja
0932880,29830,3-go Maja,3 Maja
0838039,29830,3-go Maja,3 Maja
0515968,29830,3-go Maja,3 Maja
0966330,29830,3-go Maja,3 Maja
0921415,29830,3-go Maja,3 Maja
0942104,29830,3-go Maja,3 Maja
0038965,29830,3-go Maja,3 Maja
0523212,29830,3-go Maja,3 Maja
0850135,29830,3-go Maja,3 Maja
0974937,29830,3-go Maja,3 Maja
0921645,29830,3-go Maja,3 Maja
0609847,29830,3-go Maja,3 Maja
0952077,29830,3-go Maja,3 Maja
0688427,29830,3-go Maja,3 Maja
0974966,29830,3-go Maja,3 Maja
0609907,29830,3-go Maja,3 Maja
0981133,29830,3-go Maja,3 Maja
0043676,29830,3-go Maja,3 Maja
0950262,29830,3-go Maja,3 Maja
0988603,29830,3-go Maja,3 Maja
0943813,29830,3-go Maja,3 Maja
0324760,29830,3-go Maja,3 Maja
0921958,29830,3-go Maja,3 Maja
0969400,54311,3. Pułku Lotniczego,3 Pułku Lotniczego
0954225,42436,55. Pułku Piechoty,55 Pułku Piechoty
0935699,46154,61. Brygady,61 Brygady
0982724,51992,63. Pułku Piechoty,63 Pułku Piechoty
0938670,11943,9-go Maja,9 Maja
0943813,11943,9-go Maja,9 Maja
0175120,36553,A. Abrahama,Antoniego Abrahama
0169354,36553,A. Abrahama,Antoniego Abrahama
0702720,33619,A. Asnyka,Adama Asnyka
0934694,33619,A. Asnyka,Adama Asnyka
0949359,33619,A. Asnyka,Adama Asnyka
0940163,33912,A. Bożka,Arki Bożka
0949690,35070,A. F. Modrzewskiego,Andrzeja Frycza Modrzewskiego
0937280,35070,A. F. Modrzewskiego,Andrzeja Frycza Modrzewskiego
0752326,35070,A. F. Modrzewskiego,Andrzeja Frycza Modrzewskiego
0846754,37175,A. Filemonowicza,Adama Filemonowicza
0218489,41087,A. Fredry,Aleksandra Fredry
0084988,28222,A. Hoffmana,Alfonsa Hoffmana
0934100,06764,A. Hryniewickiego,Antoniego Hryniewickiego
0482192,39856,A. K. Czartoryskiego,Adama Kazimierza Czartoryskiego
0975010,34419,A. Lewandowica Strzeżowczyka,Adama Lewandowica Strzeżowczyka
0160689,34032,A. Majkowskiego,Aleksandra Majkowskiego
0167912,34032,A. Majkowskiego,Aleksandra Majkowskiego
0740837,32579,A. Mickiewicza,Adama Mickiewicza
0492983,32579,A. Mickiewicza,Adama Mickiewicza
0957376,32579,A. Mickiewicza,Adama Mickiewicza
0364140,32579,A. Mickiewicza,Adama Mickiewicza
0495898,32579,A. Mickiewicza,Adama Mickiewicza
0414730,32579,A. Mickiewicza,Adama Mickiewicza
0186298,32579,A. Mickiewicza,Adama Mickiewicza
0850135,32579,A. Mickiewicza,Adama Mickiewicza
0947627,32579,A. Mickiewicza,Adama Mickiewicza
0949359,32579,A. Mickiewicza,Adama Mickiewicza
0967245,32579,A. Mickiewicza,Adama Mickiewicza
0141077,32579,A. Mickiewicza,Adama Mickiewicza
0941984,44201,A. Morsztyna,Andrzeja Morsztyna
0970810,02844,Chopina,Fryderyka Chopina
0223390,28792,A. Renarda,Andrzeja Renarda
0598990,37265,A. Rudawskiego,Adama Rudawskiego
0968078,46971,A. Słonimskiego,Antoniego Słonimskiego
0980926,34348,A. Struga,Andrzeja Struga
0987331,50601,A. Zawadzkiego,Aleksandra Zawadzkiego
0923472,42299,abp. gen. Mirona Chodakowskiego,Arcybiskupa Generała Mirona Chodakowskiego
0971436,51800,abp. Ignacego Krasickiego,Arcybiskupa Ignacego Krasickiego
